Tanggal,Jumlah_Kunjungan
2015-01-01,25093.0
2015-02-01,9263.0
2015-03-01,10331.0
2015-04-01,7563.0
2015-05-01,18411.0
2015-06-01,29739.0
2015-07-01,8235.0
2015-08-01,34370.0
2015-09-01,4117.0
2015-10-01,8225.0
2015-11-01,5901.0
2015-12-01,14071.0
2016-01-01,9168.0
2016-02-01,3702.0
2016-03-01,2716.0
2016-04-01,3385.0
2016-05-01,8718.0
2016-06-01,4820.0
2016-07-01,14319.0
2016-08-01,2401.0
2016-09-01,3861.0
2016-10-01,3437.0
2016-11-01,2578.0
2016-12-01,9115.0
2017-01-01,7686.0
2017-02-01,2106.0
2017-03-01,2344.0
2017-04-01,4159.0
2017-05-01,4574.0
2017-06-01,5185.0
2017-07-01,14121.0
2017-08-01,1250.0
2017-09-01,3044.0
2017-10-01,2314.0
2017-11-01,1666.0
2017-12-01,6507.0
2018-01-01,5058.0
2018-02-01,2234.0
2018-03-01,2350.0
2018-04-01,3515.0
2018-05-01,1505.0
2018-06-01,11045.0
2018-07-01,3550.0
2018-08-01,2115.0
2018-09-01,2045.0
2018-10-01,2009.0
2018-11-01,3094.0
2018-12-01,2751.0
2019-01-01,6650.0
2019-02-01,2252.0
2019-03-01,2100.0
2019-04-01,4048.0
2019-05-01,182.0
2019-06-01,46788.0
2019-07-01,2270.0
2019-08-01,1762.0
2019-09-01,1750.0
2019-10-01,1535.0
2019-11-01,3225.0
2019-12-01,4050.0
2021-01-01,2555.0
2021-02-01,2597.0
2021-03-01,1800.0
2021-04-01,1600.0
2021-05-01,1400.0
2021-06-01,1025.0
2021-07-01,932.25
2021-08-01,839.5
2021-09-01,746.75
2021-10-01,654.0
2021-11-01,564.0
2021-12-01,522.0
2022-01-01,4512.0
2022-02-01,4211.0
2022-03-01,4622.0
2022-04-01,4416.5
2022-05-01,4211.0
2022-06-01,4800.0
2022-07-01,4300.0
2022-08-01,3650.0
2022-09-01,3300.0
2022-10-01,2400.0
2022-11-01,2650.0
2022-12-01,3450.0
2023-01-01,425.0
2023-02-01,340.0
2023-03-01,347.0
2023-04-01,653.0
2023-05-01,450.0
2023-06-01,450.0
2023-07-01,395.0
2023-08-01,780.0
2023-09-01,800.0
2023-10-01,640.0
2023-11-01,647.0
2023-12-01,742.0
2024-01-01,2723.0
2024-02-01,1515.0
2024-03-01,200.0
2024-04-01,1350.0
2024-05-01,1312.0
2024-06-01,1451.0
2024-07-01,2350.0
2024-08-01,2200.0
2024-09-01,2450.0
2024-10-01,2000.0
2024-11-01,1875.0
2024-12-01,1892.0
