Tanggal,Aktual,Prediksi
2015-01-01,25093.0,0.0
2015-02-01,9263.0,15668.306374840224
2015-03-01,10331.0,13067.858565673434
2015-04-01,7563.0,12186.461530870209
2015-05-01,18411.0,11014.089937689696
2015-06-01,29739.0,12439.254458968971
2015-07-01,8235.0,15510.878800080935
2015-08-01,34370.0,14173.501564031187
2015-09-01,4117.0,17295.300763479754
2015-10-01,8225.0,15159.36016073707
2015-11-01,5901.0,14025.456099891206
2015-12-01,14071.0,12750.306115475985
2016-01-01,9168.0,12849.211052805658
2016-02-01,3702.0,12241.33106864125
2016-03-01,2716.0,10965.03908725619
2016-04-01,3385.0,9745.821470459161
2016-05-01,8718.0,8800.972152115524
2016-06-01,4820.0,8727.984566709452
2016-07-01,14319.0,8131.671749520229
2016-08-01,2401.0,8920.515299649653
2016-09-01,3861.0,7968.200991436131
2016-10-01,3437.0,7352.411208948048
2016-11-01,2578.0,6767.494638353008
2016-12-01,9115.0,6149.652915870038
2017-01-01,7686.0,6510.234441591101
2017-02-01,2106.0,6624.659502995362
2017-03-01,2344.0,5963.579019390377
2017-04-01,4159.0,5429.517321903748
2017-05-01,4574.0,5218.727398315497
2017-06-01,5185.0,5094.528460119287
2017-07-01,14121.0,5071.176662266134
2017-08-01,1250.0,6266.2196822862825
2017-09-01,3044.0,5540.3180356977155
2017-10-01,2314.0,5162.132477477802
2017-11-01,1666.0,4738.766632408204
2017-12-01,6507.0,4287.827797526315
2018-01-01,5058.0,4559.535805348154
2018-02-01,2234.0,4595.396032581258
2018-03-01,2350.0,4242.1863162565405
2018-04-01,3515.0,3955.242031431885
2018-05-01,1505.0,3867.7075870842664
2018-06-01,11045.0,3519.4152691974923
2018-07-01,3550.0,4517.9309214171535
2018-08-01,2115.0,4354.716555101435
2018-09-01,2045.0,4019.7383823998243
2018-10-01,2009.0,3723.129953754173
2018-11-01,3094.0,3464.0285626718887
2018-12-01,2751.0,3389.4782079857127
2019-01-01,6650.0,3278.9524795326297
2019-02-01,2252.0,3714.3160914280998
2019-03-01,2100.0,3489.511994728526
2019-04-01,4048.0,3276.1793033003105
2019-05-01,182.0,3358.183928987026
2019-06-01,46788.0,2902.8631392229836
2019-07-01,2270.0,8848.956873480056
2019-08-01,1762.0,7892.584474767989
2019-09-01,1750.0,7003.8637992804015
2019-10-01,1535.0,6240.557520226426
2019-11-01,3225.0,5557.138299549526
2019-12-01,4050.0,5201.180487530461
2021-01-01,2555.0,5008.271107829467
2021-02-01,2597.0,4639.685925638804
2021-03-01,1800.0,4329.501446658333
2021-04-01,1600.0,3955.302736753172
2021-05-01,1400.0,3607.4060656775155
2021-06-01,1025.0,3282.051461474265
2021-07-01,932.25,2952.2243088563446
2021-08-01,839.5,2656.9373057644107
2021-09-01,746.75,2391.2528126228985
2021-10-01,654.0,2150.9390433526587
2021-11-01,564.0,1932.3691610443839
2021-12-01,522.0,1732.8086748394087
2022-01-01,4512.0,1556.0659681732964
2022-02-01,4211.0,1947.0501767647934
2022-03-01,4622.0,2241.2192872540877
