Tanggal,Aktual,Prediksi
2016-01-01,9168.0,6532.23880504593
2016-02-01,3702.0,14491.916327122206
2016-03-01,2716.0,11731.623914587182
2016-04-01,3385.0,5792.234818254723
2016-05-01,8718.0,5401.425014317003
2016-06-01,4820.0,760.0665634655861
2016-07-01,14319.0,5140.138143054579
2016-08-01,2401.0,10975.67909211827
2016-09-01,3861.0,7518.300924273035
2016-10-01,3437.0,5008.545111766952
2016-11-01,2578.0,5056.615632600942
2016-12-01,9115.0,2091.832701267683
2017-01-01,7686.0,3625.9327849740566
2017-02-01,2106.0,7096.788302770975
2017-03-01,2344.0,6009.078392533097
2017-04-01,4159.0,4666.728539752585
2017-05-01,4574.0,2777.841592474168
2017-06-01,5185.0,3763.449927838418
2017-07-01,14121.0,4355.255973372441
2017-08-01,1250.0,9218.806214032169
2017-09-01,3044.0,6110.62943896596
2017-10-01,2314.0,5635.325309130249
2017-11-01,1666.0,4824.6302468239555
2017-12-01,6507.0,1782.417268169536
2018-01-01,5058.0,2696.230924159732
2018-02-01,2234.0,5243.213909920075
2018-03-01,2350.0,4285.724510837305
2018-04-01,3515.0,3342.9699993923014
2018-05-01,1505.0,2937.2698725075306
2018-06-01,11045.0,1937.3865130206223
2018-07-01,3550.0,8022.315773131493
2018-08-01,2115.0,6119.0450527220455
2018-09-01,2045.0,4323.471757742816
2018-10-01,2009.0,4011.960067996415
2018-11-01,3094.0,3358.7179664894106
2018-12-01,2751.0,1851.7369632554182
2019-01-01,6650.0,2289.873682824936
2019-02-01,2252.0,4220.683137635162
2019-03-01,2100.0,3664.748159577623
2019-04-01,4048.0,2838.4426454297545
2019-05-01,182.0,3084.410183288582
2019-06-01,46788.0,754.26714859348
2019-07-01,2270.0,17461.602901792132
2019-08-01,1762.0,15621.11393915598
2019-09-01,1750.0,11246.463886782662
2019-10-01,1535.0,8571.209500486422
2019-11-01,3225.0,6037.9816188961
2019-12-01,4050.0,5625.001856108293
2021-01-01,2555.0,3567.113674094286
2021-02-01,2597.0,4629.6599394651785
2021-03-01,1800.0,2724.0067888684243
2021-04-01,1600.0,1936.440935306069
2021-05-01,1400.0,108.42334598910286
2021-06-01,1025.0,1296.5223676793737
2021-07-01,932.25,932.7854105493848
2021-08-01,839.5,850.7096683742762
2021-09-01,746.75,762.0931760290724
2021-10-01,654.0,641.6130499658562
2021-11-01,564.0,412.3674615418439
2021-12-01,522.0,417.8108876235391
2022-01-01,4512.0,393.3249510043714
2022-02-01,4211.0,6140.489785301197
2022-03-01,4622.0,4448.216289392727
2022-04-01,4416.5,5127.526101190282
2022-05-01,4211.0,4770.624625493454
2022-06-01,4800.0,4367.896220877944
2022-07-01,4300.0,5002.744128584957
2022-08-01,3650.0,4485.0268643375
2022-09-01,3300.0,3687.6590530388394
2022-10-01,2400.0,3266.7834127606784
2022-11-01,2650.0,2250.3271993549292
2022-12-01,3450.0,2508.189151157596
2023-01-01,425.0,3531.0006326675884
2023-02-01,340.0,2075.732146109729
2023-03-01,347.0,785.2610056144373
2023-04-01,653.0,477.40679476680407
2023-05-01,450.0,593.0171895661964
2023-06-01,450.0,574.7811357328685
2023-07-01,395.0,402.3756256784975
2023-08-01,780.0,242.36008945170946
2023-09-01,800.0,96.36739581971767
2023-10-01,640.0,-94.70146616949069
2023-11-01,647.0,272.0164332851697
2023-12-01,742.0,758.2396114481459
2024-01-01,2723.0,812.8677937288295
2024-02-01,1515.0,2051.894027797925
2024-03-01,200.0,2066.1281864978746
2024-04-01,1350.0,-9.933337453122974
2024-05-01,1312.0,1366.188522874895
2024-06-01,1451.0,1401.3136491678247
2024-07-01,2350.0,1447.625279865894
2024-08-01,2200.0,1891.3339164139957
2024-09-01,2450.0,2198.350759359935
2024-10-01,2000.0,2489.7930654390366
2024-11-01,1875.0,2393.405616480093
2024-12-01,1892.0,1675.725124299337
